tgnID	placename	lat	lon	freq
2784619	Yazoo River	34.533	-89.833	000000018
2056948	Mechanicsburg	33.617	-90.5	000000002
2340189	French Broad River	35.133	-82.167	000000004
2096786	Sumter	34.917	-79.667	000000038
7013645	Columbus	40.95	-82.017	000000030
2112748	Louisa	38.017	-78.0	000000042
2115169	Yorktown	37.233	-76.5	000000084
2115031	White House	37.617	-78.333	000000018
2113715	Port Republic	38.283	-78.2	000000045
2110221	Aarons Creek	37.65	-78.283	000000018
2111953	Gloucester Point	37.25	-75.517	000000020
2110785	Bristol	37.583	-81.817	000000082
7023811	Jonesborough	36.283	-81.533	000000010
2111950	Gloucester	37.4	-76.483	000000022
7014278	Portsmouth	37.833	-75.717	000000190
1007357	Hatteras Island	35.4	-74.517	000000004
2076878	Tarboro	36.883	-77.467	000000015
2117422	Berkeley Springs	40.617	-77.783	000000008
2623107	Rochambeau Village	37.2	-76.433	000000004
3000601	Cape Hatteras	35.217	-75.483	000000018
2111293	Columbia	38.75	-77.85	000000012
7013040	Thunder Bay	48.45	-88.8	000000009
1050676	Fort William	57.817	-4.883	000000009
2113557	Paris	39.0	-77.05	000000038
2080924	Napoleon	41.383	-83.883	000000068
2119940	Shanghai	39.433	-77.883	000000006
7008161	Bordeaux	45.833	-0.43300000000000005	000000032
7008927	Le Havre	50.5	0.133	000000010
7008211	Cherbourg	50.633	-1.4	000000060
7002980	Département de Ville-de-Paris	49.867	2.333	000000140
7009002	Calais	51.95	2.85	000000006
1030587	Sheerness	51.433	1.767	000000010
7013294	Americus	32.067	-83.783	000000038
2101914	Union City	36.417	-88.95	000000016
2023942	Pleasant Hill	33.8	-83.517	000000008
2007877	Camden	34.583	-92.167	000000026
7014504	Shreveport	33.517	-93.25	000000078
7013445	Boston	42.35	-70.95	000000240
7009424	Passy	46.917	7.683	000000004
2094200	Washington Crossing	40.283	-74.133	000000002
2033486	Rockville	40.75	-86.783	000000002
2088919	Greencastle	40.783	-77.283	000000026
7007827	Utah	40.0	-110.0	000000008
7013804	Jacksonville	30.317	-81.35	000000112
2018514	Baldwin	30.3	-81.033	000000018
7013364	Beaufort	32.417	-80.333	000000034
2205916	Bull River	32.033	-80.033	000000002
7014444	Saint Louis	39.617	-89.817	000000258
2161656	Belle Isle	38.517	-76.55	000000045
1006482	Belle Isle	52.917	-54.667	000000017
1012121	Lookout, Point	38.033	-75.683	000000102
1104514	Chimborazo	13.067	-85.033	000000012
1107674	Chimborazo	-0.5329999999999999	-78.2	000000012
1001200	Chimborazo	-1.083	-78.25	000000012
7014073	Gloucester	43.6	-70.35	000000006
7013269	Alexandria	39.8	-76.967	000000279
2111394	Culpeper	38.467	-77.017	000000064
7021610	Fort Pickens	30.317	-86.717	000000002
6002083	Fort Pillow	36.633	-89.167	000000150
2024062	Ringgold	35.9	-84.9	000000056
7018995	Cairo Junction	37.033	-88.817	000000122
2588760	Plymouth Rock	44.25	-73.733	000000010
7017751	Franklin	36.917	-86.133	000000124
2002137	Albemarle	38.033	-78.45	000000156
2114158	Scottsville	38.783	-77.517	000000066
2111511	Drakes Branch	37.983	-78.4	000000010
2002141	Appomattox	37.367	-78.183	000000016
2697036	Stono River	33.7	-79.817	000000012
2096131	Legareville	33.65	-79.95	000000004
7017545	Natchez	32.55	-90.6	000000098
2001160	Warren	32.317	-90.15	000000004
1000001	North and Central America	42.283	-100.883	000000024
1128437	Pasquotank	36.483	-75.533	000000004
1114950	Currituck Sound	36.383	-75.117	000000002
1002774	Pasquotank	36.3	-75.717	000000006
2002269	Jefferson	39.3	-77.15	000000038
2002254	Berkeley	39.45	-77.967	000000014
1002575	Lancaster	38.733	-75.567	000000006
7013596	Chicago	42.85	-87.35	000000206
2112647	Leesburg	39.1	-77.45	000000028
7013988	Manassas National Battlefield Park	39.817	-77.483	000000030
7007564	New Hampshire	44.0	-71.333	000000090
2308580	East Nashville	36.167	-86.25	000000640
2059719	Mexico	39.167	-91.133	000000038
7000084	Deutschland	52.5	11.5	000000070
1000088	Norge	62.0	10.0	000000002
2112451	Jetersville	37.283	-77.917	000000052
2002266	Hardy	39.017	-78.183	000000038
7016329	Williamsport	40.6	-77.183	000000052
2117626	Burlington	39.333	-78.083	000000002
2119371	New Creek	39.367	-78.983	000000045
2120499	Williamsport	39.2	-78.983	000000002
7013866	Lancaster	40.033	-75.7	000000014
2091418	Northumberland	41.883	-76.217	000000010
2090220	Liverpool	41.567	-76.017	000000023
2089058	Hanover	40.8	-76.017	000000030
2089031	Hamburg	41.55	-75.033	000000004
7008154	Lancashire	54.7	-2.333	000000016
7011385	Southampton	51.9	-0.6	000000020
2628242	Romania	40.783	-78.967	000000002
2752661	Wassaw Sound	32.933	-80.05	000000010
7002443	Wales	53.5	-3.5	000000056
2004783	Opelika	33.633	-84.633	000000014
7011554	Dover	51.133	1.3	000000016
2063357	Deering	43.067	-71.167	000000002
1129009	Rapidan	38.483	-77.583	000000030
2074968	Halifax	36.317	-77.417	000000006
2002014	Jones	33.75	-99.117	000000011
2000613	Jones	42.117	-90.867	000000009
2001524	Onslow	35.75	-76.567	000000014
2075757	Morehead City	35.717	-76.283	000000012
2201576	Buck Creek	33.883	-82.883	000000003
2201575	Buck Creek	33.75	-81.35	000000003
2023815	Oglethorpe	32.283	-83.95	000000003
2023128	Hawkinsville	32.283	-82.533	000000003
2119135	Martinsburg	39.45	-77.05	000000214
2046811	Cumberland	40.65	-78.25	000000092
2119828	Romney	39.333	-78.25	000000010
7013483	Burlington	40.067	-74.15	000000006
7013961	West Virginia	39.0	-80.0	000000164
7014620	Wheeling	40.05	-80.283	000000038
2079875	Hanersville	39.833	-81.8	000000004
7013583	Charleston	38.333	-81.383	000000128
2119722	Red House	39.533	-81.117	000000008
2535267	Nansemond River	37.733	-76.417	000000024
2043374	Madisonville	30.4	-89.85	000000004
2569952	Pascagoula River	31.967	-88.283	000000008
2391938	Hilton Head	32.217	-80.333	000000040
2333489	Folly Island	33.65	-79.083	000000022
2525074	Morris Island	33.7	-79.117	000000134
2098735	Cumberland Gap	37.583	-83.333	000000084
7013915	Louisville	38.25	-85.25	000000150
2078362	Batavia	39.067	-83.833	000000002
2029573	Paris	40.6	-87.317	000000004
7014370	Terre Haute	39.467	-86.6	000000008
2092048	Pittston	41.317	-75.217	000000002
7016098	Saint Marys	38.3	-76.383	000000008
7007515	Maine	45.0	-69.0	000000090
2091577	Oregon Hill	42.517	-76.7	000000010
2492715	Marion Hill	41.717	-79.717	000000008
2002155	Culpeper	39.5	-77.033	000000028
7016287	New Market	39.633	-78.333	000000106
2042539	Clinton	31.85	-91.0	000000030
7014108	Morristown	41.783	-73.533	000000018
2114089	Sabot	38.6	-77.267	000000002
1129490	Saluda	35.95	-82.483	000000002
2510683	Middlesex Village	43.633	-70.667	000000012
7012288	Middlesex	52.5	0.417	000000016
2114118	Saluda	38.6	-76.417	000000002
2749695	Walnut Grove	40.417	-83.383	000000002
7013647	Concord	43.2	-71.467	000000012
2180587	Bloody Run	40.017	-77.633	000000006
2094437	West Valley	41.833	-78.583	000000002
2464084	Locust Creek	38.85	-77.217	000000002
2681713	South River	38.767	-78.617	000000030
2002348	Price	46.683	-89.65	000000002
2099435	Hamburg	35.083	-87.7	000000018
2074737	Fuquay-Varina	36.583	-78.2	000000066
7007868	Bruxelles	51.833	4.333	000000034
1000111	Zhongguo	35.0	105.0	000000086
2344787	Garden Hill	44.017	-71.65	000000020
2650080	Seabrook Island	33.583	-79.85	000000012
2063790	Seabrook	43.883	-70.133	000000006
7013939	Frankfort	38.2	-84.133	000000040
7004333	München	48.15	12.583	000000004
2000316	Chatham	32.0	-80.917	000000002
2645404	Savannah River	34.433	-82.15	000000030
7013172	Saint John	45.267	-65.95	000000030
2024563	Tybee Island	32.0	-80.167	000000032
7017544	Port Hudson	31.667	-90.733	000000054
2335552	Fort Sumpter	45.733	-117.8	000000004
2095449	Camden	34.233	-80.4	000000038
2057439	Savannah	31.733	-88.517	000000002
2098878	Duck River	36.717	-86.733	000000023
2100233	Manchester	35.467	-85.917	000000057
2098585	Columbia	36.6	-86.967	000000105
2687056	Spring Hill	33.867	-83.05	000000004
2001896	Maury	36.633	-86.933	000000004
2098093	Brentwood	36.017	-86.233	000000004
7017543	Baton Rouge	30.45	-90.85	000000068
2101495	Shiloh	35.1	-87.65	000000026
7015659	Clarksville	37.517	-86.65	000000036
7014175	Murfreesboro	36.833	-85.617	000000106
2101634	Spring Hill	36.75	-86.083	000000018
2101873	Tullahoma	35.35	-85.8	000000026
7014159	Fairfax	39.833	-76.7	000000006
7014623	White Plains	41.033	-73.25	000000004
7014447	Salem	43.517	-70.117	000000114
2100367	Middleburg	35.183	-88.917	000000002
2113866	Rectortown	39.917	-77.15	000000016
2038674	Elizabethtown	38.683	-85.15	000000008
2142430	Bacon Creek	37.417	-85.267	000000002
2531285	Muldraugh Hill	37.467	-84.667	000000006
2032503	Lagrange	42.633	-84.583	000000028
2039851	Lewisport	38.933	-86.1	000000002
7007520	Michigan	44.0	-85.0	000000075
7007708	Oregon	44.0	-120.0	000000030
7007254	Kansas	39.667	-98.0	000000068
7007521	Minnesota	46.0	-94.0	000000036
7007526	Nevada	40.0	-115.0	000000028
7007711	Rhode Island	42.667	-71.5	000000062
7007922	Wisconsin	45.0	-90.0	000000062
2006798	Fort Grant	33.617	-109.067	000000002
2003487	Fayette	34.683	-87.183	000000004
2001472	Brunswick	34.067	-77.733	000000002
2535807	Nassau River	31.567	-81.317	000000205
7006630	Nassau	25.05	-76.517	000000189
2111160	Chester	37.35	-76.567	000000062
7014583	Warsaw	38.95	-76.25	000000014
2104916	House	29.467	-94.517	000000002
2131960	America	41.117	-85.3	000000049
1002411	Gloucester	37.417	-76.45	000000130
2170354	Big River	38.683	-90.05	000000004
